clip_ID,Names,Hashes,TC_start,TC_end,Path,total_duration_hours
35574,EQU034_HQ_DOTGW_3m16 Ep 2 Drones,2:959785a829c04812fa34ae5b4bd2ef6d,00:00:00:00:100/1,00:02:02:00:100/1,"['LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/LOW REZ/LOOKS MUSIK FUER SCHNITTPLAETZE MP3/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU034_HQ_3m16 Ep 2/3m16 Ep 2 STEMS/EQU034_HQ_DOTGW_3m16 Ep 2 Drones.mp3', 'S2F_Hist_Trash/Equiem, Laurent 1/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU034_HQ_3m16 Ep 2/3m16 Ep 2 STEMS/EQU034_HQ_DOTGW_3m16 Ep 2 Drones.mp3']",
36197,17DeepHollowDroneSlowShifti,2:a3f3f8666ac40f68429b9fb8ebef8fd0,00:00:00:00:100/1,00:02:02:97:100/1,"['SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8001SciFi/17DeepHollowDroneSlowShifti.aif', 'ALLGEMEINES/SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8001SciFi/17DeepHollowDroneSlowShifti.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Sound Ideas Sound Effects/Sound Ideas 8000 Series/8001SciFi/17DeepHollowDroneSlowShifti.aif']",
36715,19NatureDronesBrilliant,2:0b918c6ceb156539b2a96bc5c0e021c5,00:00:00:00:100/1,00:00:40:89:100/1,"['SOUND ARCHIV/Drone Archeology/19NatureDronesBrilliant.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/19NatureDronesBrilliant.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/19NatureDronesBrilliant.aif']",
37286,23NatureDronesMountainWinds,2:3e620c1ee8cbeef8dba01d807cc80e42,00:00:00:00:100/1,00:01:07:22:100/1,"['SOUND ARCHIV/Drone Archeology/23NatureDronesMountainWinds.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/23NatureDronesMountainWinds.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/23NatureDronesMountainWinds.aif']",
37602,EQU001_HQ_DOTGW 1m2 m3 Full Drones,2:6195efd9d77d3050fa34ce87615b1a62,00:00:00:00:100/1,00:02:25:55:100/1,"['LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/LOOKS MUSIK FUER SCHNITTPLAETZE WAV/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU001_HQ_1m2 m3 Full/1m2 m3 Full Stem/EQU001_HQ_DOTGW 1m2 m3 Full Drones.wav', 'MUSIK/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU001_HQ_1m2 m3 Full/1m2 m3 Full Stem/EQU001_HQ_DOTGW 1m2 m3 Full Drones.wav', 'S2F_Hist_Trash/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU001_HQ_1m2 m3 Full/1m2 m3 Full Stem/EQU001_HQ_DOTGW 1m2 m3 Full Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU001_HQ_1m2 m3 Full/1m2 m3 Full Stem/EQU001_HQ_DOTGW 1m2 m3 Full Drones.wav', 'ALLGEMEINES/LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU001_HQ_1m2 m3 Full/1m2 m3 Full Stem/EQU001_HQ_DOTGW 1m2 m3 Full Drones.wav']",
38085,22NatureDronesEarthVents,2:1392f8949a7218fa75f1265cd3ef21b4,00:00:00:00:100/1,00:00:42:69:100/1,"['SOUND ARCHIV/Drone Archeology/22NatureDronesEarthVents.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/22NatureDronesEarthVents.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/22NatureDronesEarthVents.aif']",
38806,21NatureDronesTropicalRainf,2:f90cfe53710f33f6f7ada0223a3fbc01,00:00:00:00:100/1,00:00:35:25:100/1,"['SOUND ARCHIV/Drone Archeology/21NatureDronesTropicalRainf.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/21NatureDronesTropicalRainf.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/21NatureDronesTropicalRainf.aif']",
39536,EQU002_HQ_DOTGW1m2 m3 Short Drones,2:309c91ccd3973ffc9817aac55c802e54,00:00:00:00:100/1,00:00:31:61:100/1,"['LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/LOOKS MUSIK FUER SCHNITTPLAETZE WAV/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU002_HQ_1m2 m3 Short/1m2 m3 Short Stems/EQU002_HQ_DOTGW1m2 m3 Short Drones.wav', 'MUSIK/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU002_HQ_1m2 m3 Short/1m2 m3 Short Stems/EQU002_HQ_DOTGW1m2 m3 Short Drones.wav', 'ALLGEMEINES/LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU002_HQ_1m2 m3 Short/1m2 m3 Short Stems/EQU002_HQ_DOTGW1m2 m3 Short Drones.wav', 'S2F_Hist_Trash/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU002_HQ_1m2 m3 Short/1m2 m3 Short Stems/EQU002_HQ_DOTGW1m2 m3 Short Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU002_HQ_1m2 m3 Short/1m2 m3 Short Stems/EQU002_HQ_DOTGW1m2 m3 Short Drones.wav']",
40070,EQU047_HQ_DOTGW Opening Theme REV 2 BIS Drones,2:be3500d1f6b20b8a3e8087148b332060,00:00:00:00:100/1,00:01:25:07:100/1,"['MUSIK/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU047_HQ_Opening Theme Rev 2 BIS/Opening Theme Rev 2 BIS DOTGW/Opening Theme Rev 2 BIS Stems/EQU047_HQ_DOTGW Opening Theme REV 2 BIS Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/LOOKS MUSIK FUER SCHNITTPLAETZE WAV/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU047_HQ_Opening Theme Rev 2 BIS/Opening Theme Rev 2 BIS DOTGW/Opening Theme Rev 2 BIS Stems/EQU047_HQ_DOTGW Opening Theme REV 2 BIS Drones.wav', 'S2F_Hist_Trash/Equiem, Laurent/14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU047_HQ_Opening Theme Rev 2 BIS/Opening Theme Rev 2 BIS DOTGW/Opening Theme Rev 2 BIS Stems/EQU047_HQ_DOTGW Opening Theme REV 2 BIS Drones.wav', 'ALLGEMEINES/LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU047_HQ_Opening Theme Rev 2 BIS/Opening Theme Rev 2 BIS DOTGW/Opening Theme Rev 2 BIS Stems/EQU047_HQ_DOTGW Opening Theme REV 2 BIS Drones.wav', 'LOOKS MUSIK FUER SCHNITTPLAETZE/MUSIK LOOKS/HIGH REZ/AAA+++ KEINE RECHTE -- NICHT VERWENDEN +++ GESPERRT/Equiem 14 - TAGEBUECHER DES ERSTEN WELTKRIEGS (GEMA 15133490-001)/HIGH REZ FILES/EQU047_HQ_Opening Theme Rev 2 BIS/Opening Theme Rev 2 BIS DOTGW/Opening Theme Rev 2 BIS Stems/EQU047_HQ_DOTGW Opening Theme REV 2 BIS Drones.wav']",
40122,18NatureDronesUnstableGroun,2:ac6ce2add0aad152fc2a2536ca12c4a0,00:00:00:00:100/1,00:00:37:01:100/1,"['SOUND ARCHIV/Drone Archeology/18NatureDronesUnstableGroun.aif', 'ALLGEMEINES/SOUND ARCHIV/Drone Archeology/18NatureDronesUnstableGroun.aif', 'LOOKS Ton Backup Editshare Projekte/SOUND ARCHIV/Drone Archeology/18NatureDronesUnstableGroun.aif']",
